sessionId,player,elo,delta,w,l,timestamp
INITIAL,Clean Cathy,1500,0,0,0,2026-08-01T00:00:00.000Z
SES_1000,Clean Cathy,1520,20,1,0,2026-08-02T10:00:00.000Z
SES_1001,Clean Cathy,1512,-8,0,1,2026-08-03T10:00:00.000Z
SES_IMP_1783351369421,No Init Ned,1522,22,1,0,2026-08-02T09:00:00.000Z
SES_1002,No Init Ned,1500,-22,0,1,2026-08-04T09:00:00.000Z
SES_RE_9,Order Ozzy,876,-24,0,1,2026-08-05T01:46:59.000Z
INITIAL,Order Ozzy,900,0,0,0,2026-08-05T02:40:28.000Z
SES_1784819331856,Chain Chad,1500,0,0,0,2026-07-01T00:00:00.000Z
SES_1784819331856,Chain Chad,1600,20,1,0,2026-07-23T10:00:00.000Z
INITIAL,Dup Dan,1500,0,0,0,2026-05-30T00:00:00.000Z
SES_1780200383067,Dup Dan,1583,83,5,1,2026-05-31T12:00:00.000Z
SES_1780200397429,Dup Dan,1666,83,5,1,2026-05-31T12:00:14.000Z
INITIAL,walk out 1,1500,0,0,0,2026-06-01T00:00:00.000Z
SES_2000,walk out 1,1273,-227,0,16,2026-06-02T00:00:00.000Z
